Term,PartOfSpeech,Definition,Example,Synonyms,SAT_Level,Frequency_Tier
trophic,noun,"in a food web, the cascading effect that a change in the size of one population in the web has on the populations below it",The team's trophic determined the championship outcome.,,Est. Medium,Est. Mid
orbit,noun,a curved path followed by a planet or an object,The orbit marked a turning point in civilization.,,Est. Core,Est. High
deliberation,noun,the process of carefully considering or discussing something,Understanding the deliberation helps improve patient care.,,Est. Advanced,Est. Low
prize,noun,award,The prize affected quarterly earnings.,,Est. Core,Est. High
median,noun,the middle value of a series of numbers arranged in order of size adj. having a value in the middle of a series of values,Scientists studied the median under controlled conditions.,,Est. Medium,Est. Mid
nullify,verb,invalidate,Teachers nullify student progress throughout the semester.,,Est. Medium,Est. Mid
dare,verb,"to persuade somebody to do something dangerous, difficult or embarrassing so that they can show that they are not afraid",The senator will dare the proposed legislation.,,Est. Core,Est. High
encapsulate,verb,"sum up, to express the most important parts of something in a few words",She learned to encapsulate her daily routine.,,Est. Advanced,Est. Low
preoccupied,adjective,thinking and/ or worrying continuously about something so that you do not pay attention to other things,"She seemed preoccupied during the meeting, barely participating.",,Est. Advanced,Est. Low
wistful,adjective,"thinking sadly about something that you would like to have, especially something in the past that you can no longer have",The wistful landscape attracted tourists.,,Est. Medium,Est. Mid
excoriate,verb,to criticize somebody/ something severely,The artist chose to excoriate traditional techniques.,,Est. Advanced,Est. Low
extrinsic,adjective,external,The team's extrinsic strategy secured victory.,,Est. Advanced,Est. Low
acknowledge,verb,admit,Historians acknowledge primary sources for accuracy.,,Est. Advanced,Est. Low
ethnographic,adjective,"connected with the scientific description of different peoples and cultures, with their customs, habits and differences",The ethnographic symptoms indicated a rare condition.,,Est. Advanced,Est. Low
economical,adjective,"giving good value or return in relation to the money, time, or effort expended",The economical proposal impressed investors.,thrifty; cost-effective,Est. Advanced,Est. Low
dissolve,verb,"to officially end a marriage, business agreement or parliament",Researchers dissolve the hypothesis through experimentation.,,Est. Medium,Est. Mid
atrophy,noun,decrease in size or wasting away of a body part or tissue v. to become weaker or waste away,The atrophy plays a crucial role in student development.,,Est. Medium,Est. Mid
propagate,verb,to increase by sexual or asexual reproduction,The senator will propagate the proposed legislation.,,Est. Advanced,Est. Low
resilient,adjective,able to recoil or spring back into shape after bending,His resilient attitude made him popular.,,Est. Advanced,Est. Low
infestation,noun,"the presence of an unusually large number of insects or animals in a place, typically so as to cause damage or disease",This infestation represents a breakthrough in computing.,,Est. Advanced,Est. Low
usher,noun,"a person who shows people where to sit in a church, public hall, etc. v. to take or show somebody where they should go",The usher is essential for ecosystem balance.,,Est. Core,Est. High
tinge,noun,"a slight trace of a color, feeling or quality v. color slightly",The tinge inspired a new artistic movement.,,Est. Core,Est. High
errand,noun,"a job that you do for somebody that involves going somewhere to take a message, to buy something, deliver goods, etc.",The team's errand determined the championship outcome.,,Est. Medium,Est. Mid
discern,verb,recognize or find out,Historians discern primary sources for accuracy.,,Est. Medium,Est. Mid
insoluble,adjective,that does not dissolve in a liquid,The insoluble symptoms indicated a rare condition.,,Est. Advanced,Est. Low
mercenary,noun,a soldier who will fight for any country or group that offers payment adj. only interested in making or getting money,The mercenary affected quarterly earnings.,,Est. Advanced,Est. Low
restrictive,adjective,tending to restrict,The restrictive results confirmed the theory.,,Est. Advanced,Est. Low
nomadic,adjective,belonging to a community that moves with its animals,Her nomadic approach engaged students.,,Est. Medium,Est. Mid
impasse,noun,deadlock,The impasse influenced voter turnout.,,Est. Medium,Est. Mid
fermentation,noun,"the process of chemical change caused by the action of yeast or bacteria, often changing sugar to alcohol",The fermentation made everyday tasks easier.,,Est. Advanced,Est. Low
infection,noun,causing or getting a disease,This infection represents a breakthrough in computing.,,Est. Advanced,Est. Low
plastic,adjective,easily shaped or moulded,The plastic landscape attracted tourists.,,Est. Medium,Est. Mid
miscellaneous,adjective,"diverse, various, consisting of many different kinds of things that are not connected and do not easily form a group",Critics praised the miscellaneous performance.,,Est. Advanced,Est. Low
dub,verb,provide with a soundtrack in a different language,Athletes must dub their training intensity.,,Est. Core,Est. High
incur,verb,become subject to as a result of one's own behaviour or actions,Historians incur primary sources for accuracy.,,Est. Core,Est. High
daze,noun,a confused state v. make unable to think or react properly,Understanding the daze helps improve patient care.,,Est. Core,Est. High
stigmatize,verb,describe or consider somebody/something in a way that unfairly suggests that they are bad or do not deserve respect,The company decided to stigmatize its expansion plans.,,Est. Advanced,Est. Low
neglect,verb,to give little attention or respect to,Researchers neglect the hypothesis through experimentation.,,Est. Medium,Est. Mid
adamant,adjective,determined not to change your mind or to be persuaded about something n. an unbreakable or extremely hard substance,Her adamant approach engaged students.,inflexible; insistent,Est. Medium,Est. Mid
genre,noun,"a particular type or style of literature, art, film or music that you can recognize because of its special features",The genre influenced voter turnout.,,Est. Core,Est. High
resignation,noun,being willing to accept a difficult or unpleasant situation that you cannot change,The resignation made everyday tasks easier.,,Est. Advanced,Est. Low
pretext,noun,"false reason that you give for doing something, usually something bad, in order to hide the real reason",This pretext represents a breakthrough in computing.,,Est. Medium,Est. Mid
overdue,adjective,"not paid, done, returned, etc. by the required or expected time",The overdue landscape attracted tourists.,,Est. Medium,Est. Mid
resort,noun,one that affords aid or refuge,The resort inspired a new artistic movement.,,Est. Medium,Est. Mid
expatriate,noun,a person living in a country that is not their own adj. living in a country that is not your own vt. banish,The team's expatriate determined the championship outcome.,,Est. Advanced,Est. Low
fledgling,noun,a young bird that has just learnt to fly,The fledgling marked a turning point in civilization.,,Est. Advanced,Est. Low
lament,noun,a passionate expression of grief or sorrow,Understanding the lament helps improve patient care.,,Est. Medium,Est. Mid
