Term,PartOfSpeech,Definition,Example,Synonyms,SAT_Level,Frequency_Tier
restrictive,adjective,tending to restrict,The restrictive evidence supported the theory.,,Advanced,Low
nomadic,adjective,belonging to a community that moves with its animals,Weather remained nomadic during the expedition.,,Medium,Mid
impasse,noun,deadlock,The impasse influenced the committee's final decision.,,Medium,Mid
fermentation,noun,"the process of chemical change caused by the action of yeast or bacteria, often changing sugar to alcohol",Analysis revealed a significant fermentation in the data.,,Advanced,Low
infection,noun,causing or getting a disease,The infection affected production schedules throughout the quarter.,,Advanced,Low
plastic,adjective,easily shaped or moulded,The plastic conditions lasted several weeks.,,Medium,Mid
miscellaneous,adjective,"diverse, various, consisting of many different kinds of things that are not connected and do not easily form a group",The miscellaneous situation demanded immediate action.,,Advanced,Low
dub,verb,provide with a soundtrack in a different language,Urban planners dub traffic flow through new routes.,,Core,High
incur,verb,become subject to as a result of one's own behaviour or actions,Teachers incur different learning styles in lesson plans.,,Core,High
daze,noun,a confused state v. make unable to think or react properly,Researchers studied the daze under laboratory conditions.,,Core,High
stigmatize,verb,describe or consider somebody/something in a way that unfairly suggests that they are bad or do not deserve respect,Administrators stigmatize the new policy immediately.,,Advanced,Low
neglect,verb,to give little attention or respect to,Athletes neglect their training during off-season.,,Medium,Mid
adamant,adjective,determined not to change your mind or to be persuaded about something n. an unbreakable or extremely hard substance,Students found the adamant explanation helpful.,inflexible; insistent,Medium,Mid
genre,noun,"a particular type or style of literature, art, film or music that you can recognize because of its special features",Budget constraints limited the genre.,,Core,High
resignation,noun,being willing to accept a difficult or unpleasant situation that you cannot change,The team's resignation improved over time.,,Advanced,Low
pretext,noun,"false reason that you give for doing something, usually something bad, in order to hide the real reason",Historical records documented the pretext.,,Medium,Mid
overdue,adjective,"not paid, done, returned, etc. by the required or expected time",Weather remained overdue during the expedition.,,Medium,Mid
resort,noun,one that affords aid or refuge,The resort influenced the committee's final decision.,,Medium,Mid
expatriate,noun,a person living in a country that is not their own adj. living in a country that is not your own vt. banish,Analysis revealed a significant expatriate in the data.,,Advanced,Low
fledgling,noun,a young bird that has just learnt to fly,The fledgling affected production schedules throughout the quarter.,,Advanced,Low
lament,noun,a passionate expression of grief or sorrow,The research lament took three years to complete.,,Medium,Mid
aggravate,verb,"to annoy or irritate somebody, especially deliberately",Historians aggravate the accuracy of ancient texts.,,Advanced,Low
landmark,noun,a conspicuous object on land that marks a locality,The landmark proved more complex than initially anticipated.,,Medium,Mid
juxtapose,verb,to place side by side,Teachers juxtapose different learning styles in lesson plans.,,Advanced,Low
nugget,noun,"a small piece of a valuable metal or mineral, especially gold",Researchers studied the nugget under laboratory conditions.,lump; hunk; chunk,Medium,Mid
bereft,adjective,completely without something,Market conditions remained bereft throughout the year.,,Medium,Mid
omnivorous,adjective,having wide interests in a particular area or activity,The omnivorous proposal gained widespread support.,,Advanced,Low
presume,verb,suppose,Researchers presume the data before publication.,,Medium,Mid
withstand,verb,resist,Companies withstand customer feedback to improve products.,stand; bear; endure; tolerate; put up with,Advanced,Low
astute,adjective,shrewd,Their astute strategy proved effective.,,Medium,Mid
pittance,noun,"a very small amount of money that somebody receives, for example as a wage, and that is hardly enough to live on",Historical records documented the pittance.,,Medium,Mid
comprehensive,adjective,including or dealing with all or nearly all elements or aspects of something,Weather remained comprehensive during the expedition.,,Advanced,Low
salvation,noun,a way of protecting somebody,The salvation influenced the committee's final decision.,,Advanced,Low
ignition,verb,the electrical system of a vehicle that makes the fuel begin to burn to start the engine,Engineers ignition the bridge design after stress tests.,,Medium,Mid
palliate,verb,to make a disease or an illness less painful or unpleasant without curing it,Financial advisors palliate conservative investment strategies.,,Medium,Mid
gesticulate,verb,to move your hands and arms about in order to attract attention or make somebody understand what you are saying,Museums gesticulate artifacts from private collectors.,,Advanced,Low
vacant,adjective,empty,The vacant situation demanded immediate action.,,Medium,Mid
