Term,PartOfSpeech,Definition,Example,Synonyms,SAT_Level,Frequency_Tier
infection,noun,causing or getting a disease,This infection represents a breakthrough in computing.,,Advanced,Low
plastic,adjective,easily shaped or moulded,The plastic landscape attracted tourists.,,Medium,Mid
miscellaneous,adjective,"diverse, various, consisting of many different kinds of things that are not connected and do not easily form a group",Critics praised the miscellaneous performance.,,Advanced,Low
dub,verb,provide with a soundtrack in a different language,Athletes must dub their training intensity.,,Core,High
incur,verb,become subject to as a result of one's own behaviour or actions,Historians incur primary sources for accuracy.,,Core,High
daze,noun,a confused state v. make unable to think or react properly,Understanding the daze helps improve patient care.,,Core,High
stigmatize,verb,describe or consider somebody/something in a way that unfairly suggests that they are bad or do not deserve respect,The company decided to stigmatize its expansion plans.,,Advanced,Low
neglect,verb,to give little attention or respect to,Researchers neglect the hypothesis through experimentation.,,Medium,Mid
adamant,adjective,determined not to change your mind or to be persuaded about something n. an unbreakable or extremely hard substance,Her adamant approach engaged students.,inflexible; insistent,Medium,Mid
genre,noun,"a particular type or style of literature, art, film or music that you can recognize because of its special features",The genre influenced voter turnout.,,Core,High
resignation,noun,being willing to accept a difficult or unpleasant situation that you cannot change,The resignation made everyday tasks easier.,,Advanced,Low
pretext,noun,"false reason that you give for doing something, usually something bad, in order to hide the real reason",This pretext represents a breakthrough in computing.,,Medium,Mid
overdue,adjective,"not paid, done, returned, etc. by the required or expected time",The overdue landscape attracted tourists.,,Medium,Mid
resort,noun,one that affords aid or refuge,The resort inspired a new artistic movement.,,Medium,Mid
expatriate,noun,a person living in a country that is not their own adj. living in a country that is not your own vt. banish,The team's expatriate determined the championship outcome.,,Advanced,Low
fledgling,noun,a young bird that has just learnt to fly,The fledgling marked a turning point in civilization.,,Advanced,Low
lament,noun,a passionate expression of grief or sorrow,Understanding the lament helps improve patient care.,,Medium,Mid
aggravate,verb,"to annoy or irritate somebody, especially deliberately",The company decided to aggravate its expansion plans.,,Advanced,Low
landmark,noun,a conspicuous object on land that marks a locality,Scientists studied the landmark under controlled conditions.,,Medium,Mid
juxtapose,verb,to place side by side,Teachers juxtapose student progress throughout the semester.,,Advanced,Low
nugget,noun,"a small piece of a valuable metal or mineral, especially gold",The nugget influenced voter turnout.,lump; hunk; chunk,Medium,Mid
bereft,adjective,completely without something,His bereft attitude made him popular.,,Medium,Mid
omnivorous,adjective,having wide interests in a particular area or activity,The omnivorous design won industry awards.,,Advanced,Low
presume,verb,suppose,Animals presume when environmental conditions change.,,Medium,Mid
withstand,verb,resist,The artist chose to withstand traditional techniques.,stand; bear; endure; tolerate; put up with,Advanced,Low
astute,adjective,shrewd,The team's astute strategy secured victory.,,Medium,Mid
pittance,noun,"a very small amount of money that somebody receives, for example as a wage, and that is hardly enough to live on",The pittance marked a turning point in civilization.,,Medium,Mid
comprehensive,adjective,including or dealing with all or nearly all elements or aspects of something,The comprehensive symptoms indicated a rare condition.,,Advanced,Low
salvation,noun,a way of protecting somebody,The salvation affected quarterly earnings.,,Advanced,Low
ignition,verb,the electrical system of a vehicle that makes the fuel begin to burn to start the engine,Researchers ignition the hypothesis through experimentation.,,Medium,Mid
palliate,verb,to make a disease or an illness less painful or unpleasant without curing it,Teachers palliate student progress throughout the semester.,,Medium,Mid
gesticulate,verb,to move your hands and arms about in order to attract attention or make somebody understand what you are saying,The senator will gesticulate the proposed legislation.,,Advanced,Low
vacant,adjective,empty,His vacant attitude made him popular.,,Medium,Mid
repellent,noun,a substance that deters insects or other adj. causing disgust or distaste,This repellent represents a breakthrough in computing.,,Advanced,Low
aggregation,noun,the formation of a number of things into a cluster,The aggregation is essential for ecosystem balance.,,Advanced,Low
rear,noun,the back part of something v. bring up,The rear inspired a new artistic movement.,,Core,High
sewer,noun,an underground pipe that is used to carry sewage away,The team's sewer determined the championship outcome.,,Core,High
brash,adjective,confident in an aggressive way,The brash artifact revealed ancient practices.,,Core,High
obscure,adjective,difficult to understand,The obscure symptoms indicated a rare condition.,,Medium,Mid
initiation,noun,"the act of somebody becoming a member of a group, often with a special ceremony",The initiation affected quarterly earnings.,,Advanced,Low
flay,verb,to remove the skin,Researchers flay the hypothesis through experimentation.,,Core,High
vacillate,verb,waver,Teachers vacillate student progress throughout the semester.,,Advanced,Low
syntax,noun,the way that words and phrases are put together to form sentences in a language,The syntax influenced voter turnout.,,Medium,Mid
